pool_hash;ticker;name;cluster_id;cluster_name
00000368a25a58d3c46bea611ddabf77679b8d1fd854c75a41ea399c;WOLF;ADAwolf 🐺;45;adafrog.io
ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23;LEAD;LEAD Stake Pool;;
00000110093effbf3ce788aebd3e7506b80322bd3995ad432e61fad5;FROG;ADAfrog 🐸;45;adafrog.io
002215ea4fa2c828b15ed36c3a48348f3cfd40e1a99ccdab956de396;PS1;🌎 PLANETSTAKE;27;planetstake.com
a2afdf17baf7a0a85874997195dd68a54b3fc8db533e20251d49ee0d;EARN2;Earn2 Stakepool;77;earningcardano.com
830562e2cd868678cd8855bce2de0217557e81a5173c9e1111f64e84;KAPO;KAPO;;
90722261a7047faeaa946b0ee5f9815d7bd21fff076cd9f996e6e907;100x;100x by Texas StakeHouse;;
ca44cdacdfacca2393f9458b2be178ff2b517acf020ead85560a88b0;1PFP;1% Fee Staking Pool;;
dfdbc19fc678bd2a386973f977d56e63e59dd70fc7530fc7f7c9933b;ECHO;EchoSmith;;
c9d833d3b3b14a8d24ca1f972cfd5bbaa444843301353d84ec1bfa32;RELY;Reliable Staking;;
53215c471b7ac752e3ddf8f2c4c1e6ed111857bfaa675d5e31ce8bce;BLOOM;Bloom;20;bloompool.io
94864d27407c1dd0569e4acb9c7fa6ec2cc19a6193d9171f2d811232;STACK;ADASTACK;;
881e3af880ac65f96cbf9b85d3f054f72aa7bb9c77fe365bbf36f4c7;D360;DApp360;96;dapp360.co
632fe508edb2d24518baa39e40d030dcc8c89eb40ef71f4f23bff52b;AMAR;Amarte;;
0a423fa44f23b13cba59474427d11746136672af66b2d80b4499dd1d;ADI;Cardanesia;;
92fcdd76d1d9d13910cbe1930765543984e6f4ef9b7efed3cc6536a1;CARDs;Cardanistas StakePool;;
9f1bd8718fffe41cbd70761991819fbbd9552b4c44c30e1a6fc96766;STI;stakit.io Pool by TOBG;95;stakit.io
1c98f54e80591b99d12361091af1bf146605d89cf555b45f10738f3b;LEVI;Leviathan;;
